İlanNo,Lokasyon,m²(Brüt),m²(Net),OdaSayısı,BinaYaşı,BulunduğuKat,KatSayısı,Isıtma,BanyoSayısı,Balkon,Eşyalı,KullanımDurumu,Siteİçerisinde,Aidat(TL),Depozito(TL),Kimden,Fiyat
789652551,İstanbul/Sarıyer/ZekeriyaköyMh.,200,45,1+1,0,GirişKatı,4,Doğalgaz(Kombi),1,Yok,Evet,Kiracılı,Evet,200,Belirtilmemiş,EmlakOfisinden,6490
807627437,İstanbul/Ümraniye/YamanevlerMh.,90,85,2+1,5-10arası,5,6,Doğalgaz(Kombi),2,Var,Evet,Boş,Hayır,0,0,EmlakOfisinden,650
919243576,İstanbul/Beşiktaş/LeventMah.,110,90,1+1,11-15arası,3,8,Merkezi(PayÖlçer),2,Yok,Hayır,Kiracılı,Evet,2.100,Belirtilmemiş,EmlakOfisinden,10000
744405888,İstanbul/Şişli/MeşrutiyetMh.,60,45,1+1,2,3,4,Doğalgaz(Kombi),1,Yok,Evet,Kiracılı,Hayır,60,Belirtilmemiş,EmlakOfisinden,6850
912011519,İstanbul/Şişli/CumhuriyetMah.,650,55,2+1,1,4,5,Doğalgaz(Kombi),2,Yok,Evet,Boş,Evet,650,Belirtilmemiş,EmlakOfisinden,5990
910808922,İstanbul/Sarıyer/MaslakMah.,992,52,Stüdyo(1+0),5-10arası,24,30veüzeri,Doğalgaz(Kombi),1,Var,Evet,Boş,Hayır,992,Belirtilmemiş,EmlakOfisinden,7600
873330647,İstanbul/Kağıthane/HamidiyeMah.,800,41,1+1,0,11,15,Merkezi,1,Var,Evet,Boş,Hayır,800,Belirtilmemiş,EmlakOfisinden,5990
924059763,İstanbul/Kadıköy/SahrayıCeditMh.,200,95,2+1,1,9,11,Doğalgaz(Kombi),1,Var,Evet,Boş,Hayır,200,Belirtilmemiş,EmlakOfisinden,7990
721844859,İstanbul/Üsküdar/ÜnalanMh.,1.875,105,2+1,1,7,15,Doğalgaz(Kombi),3,Var,Evet,Boş,Evet,1.875,Belirtilmemiş,EmlakOfisinden,13120
896096199,İstanbul/Şişli/MecidiyeköyMh.,100,85,3+1,0,3,6,Doğalgaz(Kombi),1,Yok,Evet,Boş,Hayır,60,4.500,EmlakOfisinden,3650
923946402,İstanbul/Sarıyer/AyazağaMh.,87,77,1+1,0,7,17,Merkezi(PayÖlçer),1,Var,Evet,Boş,Evet,651,Belirtilmemiş,EmlakOfisinden,6950
850727358,İstanbul/Şişli/MerkezMah.,25,25,Stüdyo(1+0),5-10arası,5,6,Doğalgaz(Kombi),1,Yok,Evet,Boş,Hayır,300,2.000,İnşaatFirmasından,1700
923490216,İstanbul/Eyüpsultan/MithatpaşaMh.,53,46,1+1,1,1,5,Merkezi(PayÖlçer),1,Var,Evet,Boş,Hayır,180,9.000,EmlakOfisinden,4200
923447620,İstanbul/Beşiktaş/BebekMah.,185,175,3+1,21-25arası,2,3,Merkezi(PayÖlçer),2,Var,Hayır,Kiracılı,Evet,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,30000
917031021,İstanbul/Kartal/AtalarMah.,158,120,3+1,0,28,30veüzeri,Merkezi(PayÖlçer),2,Var,Hayır,Boş,Evet,450,15.000,EmlakOfisinden,6250
877334415,İstanbul/Beşiktaş/NisbetiyeMh.,950,127,3+1,21-25arası,GirişKatı,5,Doğalgaz(Kombi),2,Yok,Evet,Boş,Hayır,950,Belirtilmemiş,EmlakOfisinden,9990
901493012,İstanbul/Şişli/FulyaMah.,1.650,60,1+1,1,9,30veüzeri,Doğalgaz(Kombi),1,Yok,Evet,Kiracılı,Evet,1.650,Belirtilmemiş,EmlakOfisinden,21960
922868061,İstanbul/Şişli/TeşvikiyeMh.,1.595,90,2+1,2,8,18,Doğalgaz(Kombi),2,Yok,Evet,Boş,Evet,1.595,Belirtilmemiş,EmlakOfisinden,16990
922376978,İstanbul/Beykoz/AcarlarMah.,205,163,4+1,0,BahçeKatı,4,YerdenIsıtma,3,Yok,Hayır,Boş,Evet,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,28000
921496261,İstanbul/Avcılar/MustafaKemalPaşaMh.,30,25,Stüdyo(1+0),5-10arası,4,4,Merkezi,1,Var,Evet,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,Sahibinden,1350
928156043,İstanbul/Kartal/EsentepeMah.,186,125,4+1,0,3,7,Merkezi(PayÖlçer),2,Var,Hayır,Boş,Evet,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,7700
928156159,İstanbul/Eyüpsultan/GöktürkMerkezMh.,110,89,2+1,0,ÇatıKatı,5,Merkezi(PayÖlçer),2,Var,Hayır,Boş,Evet,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,6750
928140431,İstanbul/Bayrampaşa/KartaltepeMah.,200,200,3+1,3,BahçeKatı,3,Doğalgaz(Kombi),2,Var,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,Sahibinden,2500
928159731,İstanbul/Beyoğlu/ŞehitMuhtarMh.,70,60,1+1,11-15arası,4,5,Doğalgaz(Kombi),1,Yok,Evet,Boş,Hayır,0,2.000,EmlakOfisinden,2150
925105699,İstanbul/Maltepe/BağlarbaşıMh.,160,135,3+1,26-30arası,8,10,Doğalgaz(Kombi),2,Var,Hayır,Kiracılı,Hayır,100,2.650,EmlakOfisinden,2650
908954861,İstanbul/Sarıyer/TarabyaMah.,70,65,1+1,26-30arası,GirişKatı,4,Doğalgaz(Kombi),1,Var,Hayır,Boş,Hayır,20,2.000,EmlakOfisinden,2000
928157423,İstanbul/Maltepe/ÇınarMh.,100,66,2+1,0,7,15,YerdenIsıtma,2,Var,Hayır,Boş,Evet,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,5900
928147013,İstanbul/Sancaktepe/HilalMah.,100,90,2+1,3,Kot3,3,Doğalgaz(Kombi),2,Var,Hayır,Boş,Hayır,0,1.200,Sahibinden,1200
928156188,İstanbul/Kadıköy/MerdivenköyMh.,75,60,2+1,31veüzeri,BahçeKatı,4,Doğalgaz(Kombi),1,Yok,Evet,Boş,Hayır,40,Belirtilmemiş,EmlakOfisinden,2500
928157172,İstanbul/Sarıyer/YeniköyMh.,120,110,2+1,21-25arası,Kot2,3,Doğalgaz(Kombi),1,Var,Belirtilmemiş,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,2600
928156838,İstanbul/Başakşehir/KayabaşıMh.,68,55,2+1,5-10arası,3,8,Merkezi(PayÖlçer),1,Yok,Hayır,MülkSahibi,Evet,180,3.600,EmlakOfisinden,1800
928155785,İstanbul/Sancaktepe/OsmangaziMah.,145,120,3+1,4,5,5,Merkezi(PayÖlçer),2,Var,Hayır,Boş,Evet,170,Belirtilmemiş,EmlakOfisinden,2300
928156545,İstanbul/Küçükçekmece/AtakentMah.,147,120,3+1,5-10arası,3,23,YerdenIsıtma,2,Var,Belirtilmemiş,MülkSahibi,Evet,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,6500
928154216,İstanbul/Maltepe/ZümrütevlerMh.,120,110,3+1,16-20arası,1,3,Doğalgaz(Kombi),1,Var,Hayır,Boş,Hayır,35,1.700,EmlakOfisinden,1700
874331311,İstanbul/Beşiktaş/OrtaköyMh.,110,90,1+1,31veüzeri,BahçeKatı,5,Doğalgaz(Kombi),1,Var,Evet,Boş,Hayır,125,9.000,EmlakOfisinden,4500
928154270,İstanbul/Üsküdar/ÜnalanMh.,150,140,3+1,0,7,7,Doğalgaz(Kombi),2,Var,Hayır,Boş,Hayır,30,5.000,EmlakOfisinden,5000
